,node.objClass,pedestrian_count,node.serialno,node.time,date,year,month,day,location
46,pedestrian,1532.0,SWLSANDBOX1,2019-04-07T00:00:00-05:00,2019-04-07,2019,04,07,streetscape
47,pedestrian,480.0,SWLSANDBOX1,2019-04-08T00:00:00-05:00,2019-04-08,2019,04,08,streetscape
48,pedestrian,3702.0,SWLSANDBOX1,2019-04-09T00:00:00-05:00,2019-04-09,2019,04,09,streetscape
49,pedestrian,543.0,SWLSANDBOX1,2019-04-10T00:00:00-05:00,2019-04-10,2019,04,10,streetscape
50,pedestrian,1857.0,SWLSANDBOX1,2019-04-11T00:00:00-05:00,2019-04-11,2019,04,11,streetscape
51,pedestrian,326.0,SWLSANDBOX1,2019-04-12T00:00:00-05:00,2019-04-12,2019,04,12,streetscape
52,pedestrian,0.0,SWLSANDBOX1,2019-04-13T00:00:00-05:00,2019-04-13,2019,04,13,streetscape
53,pedestrian,649.0,SWLSANDBOX1,2019-04-14T00:00:00-05:00,2019-04-14,2019,04,14,streetscape
54,pedestrian,539.0,SWLSANDBOX1,2019-04-15T00:00:00-05:00,2019-04-15,2019,04,15,streetscape
55,pedestrian,356.0,SWLSANDBOX1,2019-04-16T00:00:00-05:00,2019-04-16,2019,04,16,streetscape
56,pedestrian,1009.0,SWLSANDBOX1,2019-04-17T00:00:00-05:00,2019-04-17,2019,04,17,streetscape
57,pedestrian,3886.0,SWLSANDBOX1,2019-04-18T00:00:00-05:00,2019-04-18,2019,04,18,streetscape
58,pedestrian,0.0,SWLSANDBOX1,2019-04-19T00:00:00-05:00,2019-04-19,2019,04,19,streetscape
59,pedestrian,0.0,SWLSANDBOX1,2019-04-20T00:00:00-05:00,2019-04-20,2019,04,20,streetscape
60,pedestrian,0.0,SWLSANDBOX1,2019-04-21T00:00:00-05:00,2019-04-21,2019,04,21,streetscape
61,pedestrian,5.0,SWLSANDBOX1,2019-04-22T00:00:00-05:00,2019-04-22,2019,04,22,streetscape
62,pedestrian,1294.0,SWLSANDBOX1,2019-04-23T00:00:00-05:00,2019-04-23,2019,04,23,streetscape
63,pedestrian,459.0,SWLSANDBOX1,2019-04-24T00:00:00-05:00,2019-04-24,2019,04,24,streetscape
