mean_dwell_time,node.pct100,node.pct25,node.pct50,node.pct75,node.serialno,node.time,date,year,month,day,location
20.07,573.24,3.14,7.75,19.3,SWLSANDBOX1,2019-04-01T00:00:00-05:00,2019-04-01,2019,04,01,streetscape
19.09,927.19,3.11,7.27,18.24,SWLSANDBOX1,2019-04-02T00:00:00-05:00,2019-04-02,2019,04,02,streetscape
27.07,1079.05,3.59,8.77,24.97,SWLSANDBOX1,2019-04-03T00:00:00-05:00,2019-04-03,2019,04,03,streetscape
21.48,3542.64,3.12,6.7,17.21,SWLSANDBOX1,2019-04-04T00:00:00-05:00,2019-04-04,2019,04,04,streetscape
36.57,1596.4,4.12,9.91,31.29,SWLSANDBOX1,2019-04-05T00:00:00-05:00,2019-04-05,2019,04,05,streetscape
0.0,0.0,0.0,0.0,0.0,SWLSANDBOX1,2019-04-06T00:00:00-05:00,2019-04-06,2019,04,06,streetscape
18.45,551.91,2.63,5.77,15.08,SWLSANDBOX1,2019-04-07T00:00:00-05:00,2019-04-07,2019,04,07,streetscape
19.97,467.79,2.6,5.71,15.01,SWLSANDBOX1,2019-04-08T00:00:00-05:00,2019-04-08,2019,04,08,streetscape
26.18,3395.4,3.08,6.26,16.61,SWLSANDBOX1,2019-04-09T00:00:00-05:00,2019-04-09,2019,04,09,streetscape
49.98,5131.64,3.65,8.32,22.91,SWLSANDBOX1,2019-04-10T00:00:00-05:00,2019-04-10,2019,04,10,streetscape
24.46,855.73,3.14,7.33,20.84,SWLSANDBOX1,2019-04-11T00:00:00-05:00,2019-04-11,2019,04,11,streetscape
19.46,1194.39,2.59,5.16,9.85,SWLSANDBOX1,2019-04-12T00:00:00-05:00,2019-04-12,2019,04,12,streetscape
0.0,0.0,0.0,0.0,0.0,SWLSANDBOX1,2019-04-13T00:00:00-05:00,2019-04-13,2019,04,13,streetscape
36.29,1222.16,3.18,8.36,18.76,SWLSANDBOX1,2019-04-14T00:00:00-05:00,2019-04-14,2019,04,14,streetscape
23.04,640.21,3.12,6.82,17.7,SWLSANDBOX1,2019-04-15T00:00:00-05:00,2019-04-15,2019,04,15,streetscape
17.54,276.45,2.62,6.26,15.11,SWLSANDBOX1,2019-04-16T00:00:00-05:00,2019-04-16,2019,04,16,streetscape
14.82,611.6,3.11,6.27,14.02,SWLSANDBOX1,2019-04-17T00:00:00-05:00,2019-04-17,2019,04,17,streetscape
29.4,1822.1,3.15,8.34,25.54,SWLSANDBOX1,2019-04-18T00:00:00-05:00,2019-04-18,2019,04,18,streetscape
0.0,0.0,0.0,0.0,0.0,SWLSANDBOX1,2019-04-19T00:00:00-05:00,2019-04-19,2019,04,19,streetscape
0.0,0.0,0.0,0.0,0.0,SWLSANDBOX1,2019-04-20T00:00:00-05:00,2019-04-20,2019,04,20,streetscape
0.0,0.0,0.0,0.0,0.0,SWLSANDBOX1,2019-04-21T00:00:00-05:00,2019-04-21,2019,04,21,streetscape
6.36,13.53,3.63,3.64,9.4,SWLSANDBOX1,2019-04-22T00:00:00-05:00,2019-04-22,2019,04,22,streetscape
33.36,1322.91,3.62,8.29,25.01,SWLSANDBOX1,2019-04-23T00:00:00-05:00,2019-04-23,2019,04,23,streetscape
20.1,409.84,3.13,7.24,17.18,SWLSANDBOX1,2019-04-24T00:00:00-05:00,2019-04-24,2019,04,24,streetscape
27.13,1536.92,3.11,7.83,23.46,SWLSANDBOX1,2019-04-25T00:00:00-05:00,2019-04-25,2019,04,25,streetscape
16.71,935.91,2.6,5.73,14.04,SWLSANDBOX1,2019-04-26T00:00:00-05:00,2019-04-26,2019,04,26,streetscape
2.1,2.1,2.1,2.1,2.1,SWLSANDBOX1,2019-04-27T00:00:00-05:00,2019-04-27,2019,04,27,streetscape
32.76,1197.42,3.59,7.88,26.51,SWLSANDBOX1,2019-04-28T00:00:00-05:00,2019-04-28,2019,04,28,streetscape
30.06,1336.91,2.12,5.24,15.11,SWLSANDBOX1,2019-04-29T00:00:00-05:00,2019-04-29,2019,04,29,streetscape
23.91,762.62,3.09,5.75,14.52,SWLSANDBOX1,2019-04-30T00:00:00-05:00,2019-04-30,2019,04,30,streetscape
15.79,448.15,2.59,4.71,11.48,SWLSANDBOX1,2019-05-01T00:00:00-05:00,2019-05-01,2019,05,01,streetscape
45.79,6905.53,2.63,6.74,18.75,SWLSANDBOX1,2019-05-02T00:00:00-05:00,2019-05-02,2019,05,02,streetscape
18.96,342.59,2.62,6.17,15.61,SWLSANDBOX1,2019-05-03T00:00:00-05:00,2019-05-03,2019,05,03,streetscape
340.78,13595.85,6.8,15.13,46.36,SWLSANDBOX1,2019-05-04T00:00:00-05:00,2019-05-04,2019,05,04,streetscape
38.32,7422.54,3.1,6.8,18.74,SWLSANDBOX1,2019-05-05T00:00:00-05:00,2019-05-05,2019,05,05,streetscape
70.68,4987.32,3.58,8.35,32.76,SWLSANDBOX1,2019-05-06T00:00:00-05:00,2019-05-06,2019,05,06,streetscape
45.51,3450.18,3.62,8.85,29.15,SWLSANDBOX1,2019-05-07T00:00:00-05:00,2019-05-07,2019,05,07,streetscape
40.86,7928.73,3.15,7.81,21.94,SWLSANDBOX1,2019-05-08T00:00:00-05:00,2019-05-08,2019,05,08,streetscape
20.81,873.6,2.61,5.75,14.64,SWLSANDBOX1,2019-05-09T00:00:00-05:00,2019-05-09,2019,05,09,streetscape
21.96,1506.43,2.65,6.77,17.61,SWLSANDBOX1,2019-05-10T00:00:00-05:00,2019-05-10,2019,05,10,streetscape
12.31,5816.46,2.12,4.68,10.35,SWLSANDBOX1,2019-05-11T00:00:00-05:00,2019-05-11,2019,05,11,streetscape
38.56,13620.53,2.6,5.71,11.44,SWLSANDBOX1,2019-05-12T00:00:00-05:00,2019-05-12,2019,05,12,streetscape
17.02,1788.73,3.09,6.28,14.13,SWLSANDBOX1,2019-05-13T00:00:00-05:00,2019-05-13,2019,05,13,streetscape
